 point_id, time_all,time_intersects,,time_diff,
1,107.0010662,104.9990654,,2.002000809,
2,103.9991379,102.0009518,,1.998186111,
3,104.998827,102.9989719,,1.999855042,
4,105.0000191,103.0011177,,1.998901367,
5,106.0020924,104.0000916,,2.002000809,
6,135.0250244,133.024931,,2.00009346,
7,105.0009727,103.0008793,,2.00009346,
8,105.0009727,102.9980183,,2.002954483,
9,105.0000191,102.9999256,,2.00009346,
10,104.9990654,103.9979458,,1.001119614,
11,104.0019989,101.9990444,,2.002954483,
12,104.0019989,101.9999981,,2.002000809,
13,105.9978008,103.9979458,,1.999855042,
14,106.000185,104.0000916,,2.00009346,
15,105.0000191,103.0008793,,1.999139786,
16,188.9998913,186.9997978,,2.00009346,
17,105.9989929,103.9988995,,2.00009346,
18,107.0008278,105.0000191,,2.000808716,
19,106.000185,104.0010452,,1.999139786,
20,105.9999466,104.0039063,,1.996040344,
21,104.0010452,103.0020714,,0.998973846,
22,103.9979458,102.9980183,,0.999927521,
23,103.9998531,102.0028591,,1.996994019,
24,107.0001125,105.0021648,,1.997947693,
25,105.0000191,102.9999256,,2.00009346,
26,105.9999466,105.0019264,,0.998020172,
27,104.0000916,103.0011177,,0.998973846,
28,105.0031185,104.0000916,,1.003026962,
29,105.9999466,103.9979458,,2.002000809,
30,104.9981117,103.9979458,,1.000165939,
31,168.9999104,166.0010815,,2.998828888,
32,107.0020199,105.0009727,,2.001047134,
33,107.9981327,105.9980392,,2.00009346,
34,107.0008278,105.0009727,,1.999855042,
35,106.0011387,104.0000916,,2.001047134,
36,105.0000191,102.9999256,,2.00009346,
37,105.9989929,103.9979458,,2.001047134,
38,105.9999466,104.0000916,,1.999855042,
39,105.9989929,104.0010452,,1.997947693,
40,106.000185,104.0000916,,2.00009346,
41,107.0008278,103.9958,,3.005027771,
42,104.9990654,103.9991379,,0.999927521,
43,104.9978733,102.9980183,,1.999855042,
44,107.0020199,105.0000191,,2.002000809,
45,104.9990654,102.9980183,,2.001047134,
46,169.9988842,167.9990292,,1.999855042,
47,104.9990654,102.9989719,,2.00009346,
48,106.9989204,105.0009727,,1.997947693,
49,106.0020924,104.0000916,,2.002000809,
50,105.9980392,104.0008068,,1.997232437,
51,105.9999466,104.0008068,,1.999139786,
52,105.0019264,102.9999256,,2.002000809,
53,104.9981117,102.9989719,,1.999139786,
54,105.0047874,102.9999256,,2.004861832,
55,104.9962044,102.9961109,,2.00009346,
56,107.0010662,105.0028801,,1.998186111,
57,125.9980202,124.0010262,,1.996994019,
58,105.9999466,104.0019989,,1.997947693,
59,117.000103,115.0000095,,2.00009346,
60,179.9998283,178.0018806,,1.997947693,
61,106.0011387,104.0000916,,2.001047134,
62,106.9998741,104.9990654,,2.000808716,
63,104.9990654,102.9989719,,2.00009346,
64,105.0000191,104.0029526,,0.997066498,
65,105.0000191,103.000164,,1.999855042,
66,106.0011387,104.0019989,,1.999139786,
67,106.9998741,105.0009727,,1.998901367,
68,105.9989929,103.9991379,,1.999855042,
69,107.0010662,105.0000191,,2.001047134,
70,104.9990654,103.9988995,,1.000165939,
71,106.0009003,104.0000916,,2.000808716,
72,105.0000191,103.000164,,1.999855042,
73,162.001133,160.0019932,,1.999139786,
74,106.9989204,104.9990654,,1.999855042,
75,115.0050163,112.003088,,3.001928329,
76,113.9950752,111.9949818,,2.00009346,
77,106.9991589,104.9981117,,2.001047134,
78,105.9999466,104.0019989,,1.997947693,
79,105.0040722,102.9999256,,2.004146576,
80,105.0009727,103.000164,,2.000808716,
81,105.0000191,103.0011177,,1.998901367,
82,118.0050373,116.0030365,,2.002000809,
83,107.9940796,105.9939861,,2.00009346,
84,105.0128937,103.012085,,2.000808716,
85,104.9981117,102.9970646,,2.001047134,
86,161.0000134,158.9999199,,2.00009346,
87,105.9989929,104.0000916,,1.998901367,
88,107.0001125,105.0000191,,2.00009346,
89,105.0009727,102.9999256,,2.001047134,
90,104.9990654,103.9988995,,1.000165939,
91,105.9989929,103.9969921,,2.002000809,
92,105.9978008,103.9979458,,1.999855042,
93,105.0012112,103.000164,,2.001047134,
94,104.998827,102.9989719,,1.999855042,
95,105.9989929,102.9989719,,3.000020981,
96,128.9999485,126.999855,,2.00009346,
97,105.9999466,104.0000916,,1.999855042,
98,164.0000343,162.0049477,,1.99508667,
99,105.9999466,104.0000916,,1.999855042,
100,108.0000401,106.0011387,,1.998901367,
,,,,,
avg_time,111.390357,109.4602942,,avg_time_diff,1.930062771
,,,,,
,avg_time_on intersects,98%,,,
