"id","num_of_k","size_of_vector","diff","lower_label","higher_label","should_be_zero"
1,1,32,1547,0,9,1538
2,1,64,1073,0,1,1072
3,1,128,558,0,1,557
4,1,256,289,0,1,288
5,1,512,146,0,1,145
6,1,1024,69,0,1,68
7,2,32,1979,0,9,1970
8,2,64,1007,0,6,1001
9,2,128,362,0,2,360
10,2,256,112,0,1,111
11,2,512,26,0,0,26
12,2,1024,5,0,0,5
13,3,32,2032,0,6,2026
14,3,64,925,0,2,923
15,3,128,234,0,2,232
16,3,256,60,0,0,60
17,3,512,15,0,0,15
18,3,1024,2,0,0,2
19,4,32,2206,0,8,2198
20,4,64,1276,0,2,1274
21,4,128,385,0,1,384
22,4,256,52,0,0,52
23,4,512,5,0,0,5
24,4,1024,1,0,0,1
25,5,32,2458,0,12,2446
26,5,64,1343,0,6,1337
27,5,128,482,0,3,479
28,5,256,48,0,0,48
29,5,512,3,0,0,3
30,5,1024,0,0,0,0
31,6,32,2456,0,10,2446
32,6,64,1860,0,5,1855
33,6,128,412,0,1,411
34,6,256,55,0,1,54
35,6,512,2,0,0,2
36,6,1024,0,0,0,0
37,7,32,2456,0,10,2446
38,7,64,1958,0,6,1952
39,7,128,549,0,2,547
40,7,256,47,0,0,47
41,7,512,1,0,0,1
42,7,1024,0,0,0,0
43,8,32,2455,0,9,2446
44,8,64,2450,0,4,2446
45,8,128,758,0,2,756
46,8,256,59,0,0,59
47,8,512,1,0,0,1
48,8,1024,0,0,0,0
49,9,32,2455,0,9,2446
50,9,64,2450,0,4,2446
51,9,128,855,0,1,854
52,9,256,57,0,0,57
53,9,512,0,0,0,0
54,9,1024,0,0,0,0
55,10,32,2455,0,9,2446
56,10,64,2079,0,6,2073
57,10,128,940,0,2,938
58,10,256,82,0,1,81
59,10,512,2,0,0,2
60,10,1024,0,0,0,0
61,11,32,2455,0,9,2446
62,11,64,2453,0,7,2446
63,11,128,1220,0,1,1219
64,11,256,92,0,0,92
65,11,512,0,0,0,0
66,11,1024,0,0,0,0
67,12,32,2462,0,16,2446
68,12,64,2452,0,6,2446
69,12,128,913,0,0,913
70,12,256,155,0,0,155
71,12,512,1,0,0,1
72,12,1024,0,0,0,0
73,13,32,2460,0,14,2446
74,13,64,2455,0,9,2446
75,13,128,966,0,3,963
76,13,256,59,0,0,59
77,13,512,2,0,0,2
78,13,1024,0,0,0,0
79,14,32,2456,0,10,2446
80,14,64,2455,0,9,2446
81,14,128,1769,0,3,1766
82,14,256,226,0,0,226
83,14,512,1,0,0,1
84,14,1024,0,0,0,0
85,15,32,2455,0,9,2446
86,15,64,2455,0,9,2446
87,15,128,1694,0,7,1687
88,15,256,233,0,0,233
89,15,512,0,0,0,0
90,15,1024,0,0,0,0
91,16,32,2460,0,14,2446
92,16,64,2455,0,9,2446
93,16,128,1886,0,2,1884
94,16,256,198,0,0,198
95,16,512,1,0,0,1
96,16,1024,0,0,0,0
97,17,32,2467,0,21,2446
98,17,64,2456,0,10,2446
99,17,128,1865,0,7,1858
100,17,256,234,0,0,234
101,17,512,2,0,0,2
102,17,1024,0,0,0,0
103,18,32,2465,0,19,2446
104,18,64,2456,0,10,2446
105,18,128,2128,0,5,2123
106,18,256,478,0,0,478
107,18,512,1,0,0,1
108,18,1024,0,0,0,0
109,19,32,2473,0,27,2446
110,19,64,2456,0,10,2446
111,19,128,2454,0,8,2446
112,19,256,451,0,1,450
113,19,512,2,0,0,2
114,19,1024,0,0,0,0
115,20,32,2473,0,27,2446
116,20,64,2457,0,11,2446
117,20,128,2101,0,8,2093
118,20,256,533,0,0,533
119,20,512,8,0,0,8
120,20,1024,0,0,0,0
121,21,32,2462,0,16,2446
122,21,64,2456,0,10,2446
123,21,128,2074,0,6,2068
124,21,256,427,0,0,427
125,21,512,3,0,0,3
126,21,1024,0,0,0,0
127,22,32,2458,0,12,2446
128,22,64,2455,0,9,2446
129,22,128,2449,0,3,2446
130,22,256,581,0,0,581
131,22,512,5,0,0,5
132,22,1024,0,0,0,0
133,23,32,2463,0,17,2446
134,23,64,2455,0,9,2446
135,23,128,2452,0,6,2446
136,23,256,355,0,0,355
137,23,512,4,0,0,4
138,23,1024,0,0,0,0
139,24,32,2473,0,27,2446
140,24,64,2456,0,10,2446
141,24,128,2452,0,6,2446
142,24,256,1055,0,0,1055
143,24,512,12,0,0,12
144,24,1024,0,0,0,0
145,25,32,2473,0,27,2446
146,25,64,2456,0,10,2446
147,25,128,2452,0,6,2446
148,25,256,1022,0,2,1020
149,25,512,3,0,0,3
150,25,1024,0,0,0,0
151,26,32,2473,0,27,2446
152,26,64,2456,0,10,2446
153,26,128,2453,0,7,2446
154,26,256,955,0,1,954
155,26,512,4,0,0,4
156,26,1024,0,0,0,0
157,27,32,2463,0,17,2446
158,27,64,2459,0,13,2446
159,27,128,2452,0,6,2446
160,27,256,916,0,2,914
161,27,512,2,0,0,2
162,27,1024,0,0,0,0
163,28,32,2461,0,15,2446
164,28,64,2456,0,10,2446
165,28,128,2454,0,8,2446
166,28,256,995,0,0,995
167,28,512,7,0,0,7
168,28,1024,0,0,0,0
169,29,32,2473,0,27,2446
170,29,64,2455,0,9,2446
171,29,128,2455,0,9,2446
172,29,256,609,0,0,609
173,29,512,18,0,0,18
174,29,1024,0,0,0,0
175,30,32,2473,0,27,2446
176,30,64,2458,0,12,2446
177,30,128,2455,0,9,2446
178,30,256,1697,0,0,1697
179,30,512,31,0,0,31
180,30,1024,0,0,0,0
