"id","num_of_k","size_of_vector","diff","lower_label","should_be_zero"
1,1,10,2466,0,2446
2,1,110,705,0,703
3,1,210,386,0,384
4,1,310,251,0,250
5,1,410,182,0,181
6,1,510,158,0,158
7,1,610,143,0,143
8,1,710,108,0,107
9,1,810,87,0,86
10,1,910,88,0,88
11,1,1010,89,0,89
12,2,10,2470,0,2446
13,2,110,389,0,384
14,2,210,159,0,159
15,2,310,79,0,79
16,2,410,56,0,56
17,2,510,31,0,31
18,2,610,17,0,17
19,2,710,21,0,21
20,2,810,11,0,11
21,2,910,17,0,17
22,2,1010,13,0,13
23,3,10,2473,0,2446
24,3,110,445,0,445
25,3,210,143,0,143
26,3,310,48,0,48
27,3,410,31,0,31
28,3,510,15,0,15
29,3,610,4,0,4
30,3,710,5,0,5
31,3,810,3,0,3
32,3,910,3,0,3
33,3,1010,2,0,2
34,4,10,2471,0,2446
35,4,110,581,0,581
36,4,210,122,0,121
37,4,310,31,0,31
38,4,410,18,0,18
39,4,510,7,0,7
40,4,610,3,0,3
41,4,710,1,0,1
42,4,810,1,0,1
43,4,910,2,0,2
44,4,1010,0,0,0
45,5,10,2473,0,2446
46,5,110,778,0,775
47,5,210,139,0,139
48,5,310,23,0,23
49,5,410,7,0,7
50,5,510,1,0,1
51,5,610,2,0,2
52,5,710,0,0,0
53,5,810,0,0,0
54,5,910,0,0,0
55,5,1010,0,0,0
56,6,10,2473,0,2446
57,6,110,687,0,686
58,6,210,132,0,132
59,6,310,25,0,25
60,6,410,6,0,6
61,6,510,2,0,2
62,6,610,1,0,1
63,6,710,1,0,1
64,6,810,0,0,0
65,6,910,0,0,0
66,6,1010,0,0,0
67,7,10,2473,0,2446
68,7,110,941,0,940
69,7,210,142,0,142
70,7,310,21,0,21
71,7,410,8,0,8
72,7,510,0,0,0
73,7,610,0,0,0
74,7,710,0,0,0
75,7,810,0,0,0
76,7,910,0,0,0
77,7,1010,0,0,0
78,8,10,2473,0,2446
79,8,110,1245,0,1241
80,8,210,212,0,212
81,8,310,32,0,32
82,8,410,6,0,6
83,8,510,0,0,0
84,8,610,0,0,0
85,8,710,1,0,1
86,8,810,0,0,0
87,8,910,0,0,0
88,8,1010,0,0,0
89,9,10,2473,0,2446
90,9,110,1661,0,1660
91,9,210,188,0,188
92,9,310,26,0,26
93,9,410,12,0,12
94,9,510,1,0,1
95,9,610,0,0,0
96,9,710,0,0,0
97,9,810,0,0,0
98,9,910,0,0,0
99,9,1010,0,0,0
100,10,10,2473,0,2446
101,10,110,1400,0,1398
102,10,210,212,0,212
103,10,310,32,0,32
104,10,410,7,0,7
105,10,510,1,0,1
106,10,610,0,0,0
107,10,710,0,0,0
108,10,810,0,0,0
109,10,910,0,0,0
110,10,1010,0,0,0
111,11,10,2466,0,2446
112,11,110,1625,0,1623
113,11,210,185,0,184
114,11,310,25,0,25
115,11,410,1,0,1
116,11,510,1,0,1
117,11,610,0,0,0
118,11,710,0,0,0
119,11,810,0,0,0
120,11,910,0,0,0
121,11,1010,0,0,0
122,12,10,2474,0,2446
123,12,110,1372,0,1368
124,12,210,282,0,282
125,12,310,28,0,28
126,12,410,6,0,6
127,12,510,1,0,1
128,12,610,0,0,0
129,12,710,0,0,0
130,12,810,0,0,0
131,12,910,0,0,0
132,12,1010,0,0,0
133,13,10,2477,0,2446
134,13,110,1908,0,1906
135,13,210,619,0,619
136,13,310,34,0,34
137,13,410,9,0,9
138,13,510,1,0,1
139,13,610,0,0,0
140,13,710,0,0,0
141,13,810,0,0,0
142,13,910,0,0,0
143,13,1010,0,0,0
144,14,10,2475,0,2446
145,14,110,1865,0,1857
146,14,210,376,0,376
147,14,310,52,0,52
148,14,410,5,0,5
149,14,510,0,0,0
150,14,610,0,0,0
151,14,710,0,0,0
152,14,810,0,0,0
153,14,910,0,0,0
154,14,1010,0,0,0
155,15,10,2473,0,2446
156,15,110,1882,0,1877
157,15,210,607,0,607
158,15,310,70,0,70
159,15,410,11,0,11
160,15,510,1,0,1
161,15,610,1,0,1
162,15,710,0,0,0
163,15,810,1,0,1
164,15,910,0,0,0
165,15,1010,0,0,0
166,16,10,2473,0,2446
167,16,110,1813,0,1808
168,16,210,782,0,780
169,16,310,59,0,59
170,16,410,27,0,27
171,16,510,2,0,2
172,16,610,1,0,1
173,16,710,0,0,0
174,16,810,0,0,0
175,16,910,0,0,0
176,16,1010,0,0,0
177,17,10,2473,0,2446
178,17,110,2101,0,2092
179,17,210,645,0,644
180,17,310,46,0,46
181,17,410,23,0,23
182,17,510,0,0,0
183,17,610,0,0,0
184,17,710,0,0,0
185,17,810,0,0,0
186,17,910,0,0,0
187,17,1010,0,0,0
188,18,10,2474,0,2446
189,18,110,2115,0,2107
190,18,210,515,0,515
191,18,310,79,0,79
192,18,410,9,0,9
193,18,510,2,0,2
194,18,610,0,0,0
195,18,710,0,0,0
196,18,810,0,0,0
197,18,910,0,0,0
198,18,1010,0,0,0
199,19,10,2473,0,2446
200,19,110,2450,0,2446
201,19,210,855,0,855
202,19,310,152,0,152
203,19,410,15,0,15
204,19,510,3,0,3
205,19,610,1,0,1
206,19,710,0,0,0
207,19,810,0,0,0
208,19,910,0,0,0
209,19,1010,0,0,0
210,20,10,2473,0,2446
211,20,110,2456,0,2446
212,20,210,1481,0,1480
213,20,310,198,0,198
